,category,contract,output_num,input_len,output_len,inout_len,exec_time
99,reentrancy,0xf015c35649c82f5467c9c74b7f28ee67665aad68,4,4889,1533,6422,28
100,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,0,4713,1372,6085,22
101,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,1,4713,1323,6036,20
102,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,2,4713,1402,6115,32
103,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,3,4713,1363,6076,22
104,reentrancy,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,4,4713,1333,6046,24
105,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,0,4719,1339,6058,32
106,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,1,4719,1375,6094,24
107,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,2,4719,1363,6082,42
108,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,3,4719,1373,6092,21
109,reentrancy,0x8c7777c45481dba411450c228cb692ac3d550344,4,4719,1343,6062,24
110,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,0,4940,1613,6553,24
111,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,1,4940,1585,6525,22
112,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,2,4940,1586,6526,25
113,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,3,4940,1585,6525,12
114,reentrancy,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,4,4940,1591,6531,16
115,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,0,3125,963,4088,16
116,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,1,3125,963,4088,20
117,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,2,3125,963,4088,13
118,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,3,3125,955,4080,15
119,unchecked_low_level_calls,0xbaa3de6504690efb064420d89e871c27065cdd52,4,3125,963,4088,15
120,unchecked_low_level_calls,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c,0,3124,962,4086,10
121,unchecked_low_level_calls,0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c,1,3124,962,4086,21
