,category,contract,output_num,input_len,output_len,inout_len,exec_time
176,unchecked_low_level_calls,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,1,1899,1763,3662,39
177,unchecked_low_level_calls,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,2,1899,1777,3676,30
178,unchecked_low_level_calls,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,3,1899,1759,3658,36
179,unchecked_low_level_calls,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,4,1899,1843,3742,27
180,unchecked_low_level_calls,0xe894d54dca59cb53fe9cbc5155093605c7068220,0,652,466,1118,30
181,unchecked_low_level_calls,0xe894d54dca59cb53fe9cbc5155093605c7068220,1,652,1240,1892,29
182,unchecked_low_level_calls,0xe894d54dca59cb53fe9cbc5155093605c7068220,2,652,656,1308,42
183,unchecked_low_level_calls,0xe894d54dca59cb53fe9cbc5155093605c7068220,3,652,1380,2032,47
184,unchecked_low_level_calls,0xe894d54dca59cb53fe9cbc5155093605c7068220,4,652,718,1370,34
185,unchecked_low_level_calls,0xa1fceeff3acc57d257b917e30c4df661401d6431,0,940,811,1751,14
186,unchecked_low_level_calls,0xa1fceeff3acc57d257b917e30c4df661401d6431,1,940,1396,2336,30
187,unchecked_low_level_calls,0xa1fceeff3acc57d257b917e30c4df661401d6431,2,940,1035,1975,11
188,unchecked_low_level_calls,0xa1fceeff3acc57d257b917e30c4df661401d6431,3,940,857,1797,21
189,unchecked_low_level_calls,0xa1fceeff3acc57d257b917e30c4df661401d6431,4,940,1036,1976,20
190,other,name_registrar,0,792,572,1364,20
191,other,name_registrar,1,792,610,1402,17
192,other,name_registrar,2,792,559,1351,15
193,other,name_registrar,3,792,564,1356,15
194,other,name_registrar,4,792,592,1384,16
195,other,crypto_roulette,0,1261,1128,2389,54
196,other,crypto_roulette,1,1261,1006,2267,33
197,other,crypto_roulette,2,1261,1058,2319,27
198,other,crypto_roulette,3,1261,1115,2376,26
199,other,crypto_roulette,4,1261,1113,2374,35
200,access_control,proxy,0,420,748,1168,13
201,access_control,proxy,1,420,350,770,15
202,access_control,proxy,2,420,473,893,13
203,access_control,proxy,3,420,611,1031,11
204,access_control,proxy,4,420,350,770,14
205,access_control,phishable,0,518,469,987,11
206,access_control,phishable,1,518,386,904,9
207,access_control,phishable,2,518,421,939,12
208,access_control,phishable,3,518,422,940,7
209,access_control,phishable,4,518,470,988,9
210,access_control,mycontract,0,478,466,944,11
211,access_control,mycontract,1,478,458,936,8
212,access_control,mycontract,2,478,467,945,10
213,access_control,mycontract,3,478,366,844,11
214,access_control,mycontract,4,478,844,1322,14
